idx,cartoonstock_id,contest_number,description,caption,element
40,,32.0,"In the cartoon, a person dressed in a full rabbit costume, carrying a briefcase and reading a sheet of paper, walks down a hallway in a typical office setting. Two business-suited colleagues stand nearby, looking somewhat puzzled, while another person peeks out from an office doorway.","Well, at least somebody remembered about casual Good Friday.","Play on words, mixing ""casual friday"" with ""Good Friday"""
41,,32.0,"In the cartoon, a person dressed in a full rabbit costume, carrying a briefcase and reading a sheet of paper, walks down a hallway in a typical office setting. Two business-suited colleagues stand nearby, looking somewhat puzzled, while another person peeks out from an office doorway.",It's not just Henderson. Corporate laid off the entire bunny division.,"The caption interprets the man in the rabbit suit as reading a pink slip, having just been fired"
42,,34.0,"In a woman's bedroom, a vampire is walking out of the door to the outside, spreading his cape as if to take flight, looking back at the woman who is sitting up in her bed, naked. The woman is speaking with a mildly disappointed look, and the vampire is looking back at her with a slight frown.",I guess this rules out a church wedding.,"The woman implies that after this romantic encounter, marriage might be on the table"
43,,34.0,"In a woman's bedroom, a vampire is walking out of the door to the outside, spreading his cape as if to take flight, looking back at the woman who is sitting up in her bed, naked. The woman is speaking with a mildly disappointed look, and the vampire is looking back at her with a slight frown.",I bet the bride of Frankenstein gets to cuddle.,"This references the famous ""Bride of Frankenstine” character"
44,,34.0,"In a woman's bedroom, a vampire is walking out of the door to the outside, spreading his cape as if to take flight, looking back at the woman who is sitting up in her bed, naked. The woman is speaking with a mildly disappointed look, and the vampire is looking back at her with a slight frown.",And where do you think you're going with those curtains?,"This offers a different interpretation of the scene, suggesting that the man is not a vampire but rather her partner, just acting silly by pretending to be a vampire."
46,,36.0,"The cartoon shows two men in office attire. One man, standing with his arms crossed, looks at the other, who is visibly pregnant, with his shirt stretched tightly over his large belly. The pregnant man is speaking, seemingly addressing the other with a comment.",No one expects an immaculate conception until it happens to him.,The immaculate conception involved a virgin inexplicably getting pregnant. This caption plays on that to explain the man's inexplicable pregnancy.
47,,36.0,"The cartoon shows two men in office attire. One man, standing with his arms crossed, looks at the other, who is visibly pregnant, with his shirt stretched tightly over his large belly. The pregnant man is speaking, seemingly addressing the other with a comment.",The ultrasound says it's a keg of Bud Light.,"This explains the man's large belly as a beer belly, not a pregnancy"
48,,40.0,"The cartoon shows a woman in her underwear sitting up in bed, looking forward with a disgruntled expression. A large snow globe with a snowman inside is positioned next to her on the bed. The woman is speaking.","Well, that was abominable.","This plays on the phrase ""abominable snowman,"" a mythical creature"
49,,40.0,"The cartoon shows a woman in her underwear sitting up in bed, looking forward with a disgruntled expression. A large snow globe with a snowman inside is positioned next to her on the bed. The woman is speaking.",I just wish we could talk about something other than global warming.,"This implies that she snowman constantly talks about global warming, which makes sense as a topic for a snowman to be concerned about"
50,,40.0,"The cartoon shows a woman in her underwear sitting up in bed, looking forward with a disgruntled expression. A large snow globe with a snowman inside is positioned next to her on the bed. The woman is speaking.",I think the Manhattan skyline is getting suspicious,"This implies that she is cheating on her partner, a snowglobe of the manhattan skyline, with the snowman"
51,,41.0,"In a grand church, there is a large bar stocked with bottles of liquor. A few patrons are seated at the bar, and sunbeams stream through the stained glass windows, dramatically illuminating one of the patrons. A couple dressed in formal church attire stands at the open doors, with the husband speaking.",Just don't order a Bloody Mary.,"This is a play on the dual meaning of ""Bloody Mary"", referring to both the alcoholic drink and the ghost of Mary I. of England, a common horror/supernatural character known for persecuting Protestants"
52,,41.0,"In a grand church, there is a large bar stocked with bottles of liquor. A few patrons are seated at the bar, and sunbeams stream through the stained glass windows, dramatically illuminating one of the patrons. A couple dressed in formal church attire stands at the open doors, with the husband speaking.",Hey! Who ya gotta pray to to get a drink around here?,"This plays on the common phrase, ""Who do you have to [verb] to get a drink around here""?"
53,,41.0,"In a grand church, there is a large bar stocked with bottles of liquor. A few patrons are seated at the bar, and sunbeams stream through the stained glass windows, dramatically illuminating one of the patrons. A couple dressed in formal church attire stands at the open doors, with the husband speaking.",Finally—a faith-based initiative I can embrace.,"This refers to President George W. Bush's ""Faith-Based and Community Initiatives,"" a program that funds cetrain faith-based organizations"
54,,46.0,"The cartoon depicts a shareholder meeting, with a banner reading “Welcome Stockholders.” However, the board members sitting on stage are all completely naked, and one man, also naked, is speaking at the podium. ","If all goes well, we'll get them back after the audit.",The board members specifically are naked because they had to lose their clothes for “transparency” during the audit.
55,,46.0,"The cartoon depicts a shareholder meeting, with a banner reading “Welcome Stockholders.” However, the board members sitting on stage are all completely naked, and one man, also naked, is speaking at the podium. ",Do I hear a motion for less disclosure?,"In a shareholder meeting, ""disclosure"" typically refers to financial or operational information. However, this caption refers to the lack of clothes as disclosure. "
56,,46.0,"The cartoon depicts a shareholder meeting, with a banner reading “Welcome Stockholders.” However, the board members sitting on stage are all completely naked, and one man, also naked, is speaking at the podium. ","First, I'd like to thank the podium.",The man appreciates the podium because it's the only thing providing him with cover
57,,47.0,"In an office setting, two people are sitting calmly at a desk, seemingly engaged in a business conversation. Meanwhile, through the large glass window behind them, a chaotic chase is unfolding as individuals dressed in business attire armed with various weapons— a hammer, bat, and gun—are running after another man, with his tie trailing him. One man sitting down is speaking to the other.",Our conflict-resolution seminar ended a bit early today,"The caption implies that the violent chase was part of an office training, but that it got out of hand."
58,,47.0,"In an office setting, two people are sitting calmly at a desk, seemingly engaged in a business conversation. Meanwhile, through the large glass window behind them, a chaotic chase is unfolding as individuals dressed in business attire armed with various weapons— a hammer, bat, and gun—are running after another man, with his tie trailing him. One man sitting down is speaking to the other.",How soon can you start?,This directly implies that the employee being chased in the background is leaving a vacancy at the company.
59,,47.0,"In an office setting, two people are sitting calmly at a desk, seemingly engaged in a business conversation. Meanwhile, through the large glass window behind them, a chaotic chase is unfolding as individuals dressed in business attire armed with various weapons— a hammer, bat, and gun—are running after another man, with his tie trailing him. One man sitting down is speaking to the other.","Just remember to keep away from Fletcher's wife, and Davidson's daughter, and Harris's iPod.","The man in the background is being chased because he must have encroached on the coworkers wife, daugher, and ipod."
60,,49.0,"In a bar, the bartender is talking on a wall phone phone behind the bar. A patron sitting at the bar looks behind him at a Catholic Priest, Protestant Pastor and Jewish Rabbi all walking into the bar.",I thought I told you to stop sending me jokes at work,"The setting strongly resembles a ""walks into a bar"" joke setup"
61,,49.0,"In a bar, the bartender is talking on a wall phone phone behind the bar. A patron sitting at the bar looks behind him at a Catholic Priest, Protestant Pastor and Jewish Rabbi all walking into the bar.",It's gonna be one of those long nights of playing devil's advocate.,"Play on words of ""devil's advocate,"" typically meaning being contrarian for the sake of argument, but here literally advocating for the Devil and thus against the faith leaders"
62,,49.0,"In a bar, the bartender is talking on a wall phone phone behind the bar. A patron sitting at the bar looks behind him at a Catholic Priest, Protestant Pastor and Jewish Rabbi all walking into the bar.",Stop me if you've heard this one.,This acknowledges the common joke setup of different faith leaders walking into a bar
63,,51.0,"In a courtroom setting, a man is sitting in a chair in the witness stand. One of the man's hands is replaced by a metal hook. A lawyer is standing in front of the man and the judge, reading from a document. The judge is looking at the witness.",Can you please identify which hand was mistakenly amputated?,"Given that one hand is replaced by a hook, it should be obvious which hand was amputated"
64,,51.0,"In a courtroom setting, a man is sitting in a chair in the witness stand. One of the man's hands is replaced by a metal hook. A lawyer is standing in front of the man and the judge, reading from a document. The judge is looking at the witness.",When did you first encounter my client's balloon?,The man is on trial for popping the balloon with his hook
65,,51.0,"In a courtroom setting, a man is sitting in a chair in the witness stand. One of the man's hands is replaced by a metal hook. A lawyer is standing in front of the man and the judge, reading from a document. The judge is looking at the witness.","Your Honor, may I have permission not to approach the witness?","This subverts the typical court setting, in which atourneys are required to ask the judge for permission to approach a witness. "
66,,53.0,"A man-sized bug with antennae and a hairy body is sitting upright in a bed next to a woman. The woman is reading a book, while the bug is reading a newspaper with four hands visible holding the sides of the newspaper. They appear to be a couple sharing a bed, each reading their own material under the covers, with a nightstand and lamp on either side of the bed. The woman is speaking.","Two thousand eyes, but it still takes you all day to read the morning paper.","One might imagine that a bug with compound eyes could read faster, if more eyes leads to better sight."
67,,53.0,"A man-sized bug with antennae and a hairy body is sitting upright in a bed next to a woman. The woman is reading a book, while the bug is reading a newspaper with four hands visible holding the sides of the newspaper. They appear to be a couple sharing a bed, each reading their own material under the covers, with a nightstand and lamp on either side of the bed. The woman is speaking.","Well, it's another thrilling night at the Samsas’.","The woman is drawing attention to the fact that despite her partner being a monster, their lives have become mundane"
68,,53.0,"A man-sized bug with antennae and a hairy body is sitting upright in a bed next to a woman. The woman is reading a book, while the bug is reading a newspaper with four hands visible holding the sides of the newspaper. They appear to be a couple sharing a bed, each reading their own material under the covers, with a nightstand and lamp on either side of the bed. The woman is speaking.",Would your mother find chilled larvae in a light honey glaze too waspy?,"This plays on the dual meaning of ""waspy,"" which could refer to the insect or the slang ""WASP,"" meaning White Anglo-Saxon Protestant."
69,,57.0,"Two men in a living room stand by a fireplace, above which a large, mounted fish is displayed. One man’s hand is inside the fish’s open mouth—indicating the fish is biting him. The other man stands nearby, holding a cup and looking on.",There may be some lingering resentment.,"The fish, though presumably long dead, seems to ""hold a grudge"" over having been caught."
70,,57.0,"Two men in a living room stand by a fireplace, above which a large, mounted fish is displayed. One man’s hand is inside the fish’s open mouth—indicating the fish is biting him. The other man stands nearby, holding a cup and looking on.",Watch out for the moose head in the parlor.,The caption hints that other mounted animals may also be animated.
71,,57.0,"Two men in a living room stand by a fireplace, above which a large, mounted fish is displayed. One man’s hand is inside the fish’s open mouth—indicating the fish is biting him. The other man stands nearby, holding a cup and looking on.","It's painful, but I couldn't stand another chorus of ‘Take Me to the River.’","This references Big Mouth Billy Bass, a classic novelty prop of a singing fish, singing ""Take Me to the River"" "
72,,58.0,"A couple is in bed together, with nightstands and lamps on either side, but the bed is surrounded by a maze-like series of walls. The woman is sitting up holding a book, speaking to the man who is lying down.",Try counting rats.,This is a twist on the classic advice to count sleep to help you sleep
73,,58.0,"A couple is in bed together, with nightstands and lamps on either side, but the bed is surrounded by a maze-like series of walls. The woman is sitting up holding a book, speaking to the man who is lying down.",We never get out anymore.,"While this would typically mean that they have a dull social life, in this situation, it literally means theyre unable to get out of the maze"
74,,58.0,"A couple is in bed together, with nightstands and lamps on either side, but the bed is surrounded by a maze-like series of walls. The woman is sitting up holding a book, speaking to the man who is lying down.","Sooner or later, you're going to have to learn your way to the bathroom yourself.","This implies that the woman knows the maze better than the man, and that he frequently asks her to navigate for him."
75,,59.0,"A man, seated at his desk in an office, is on the phone with a slightly anxious expression. Behind him, hanging on the wall, is a large clock where the usual numbers are replaced by punctuation and symbols (like #, @, %). A framed family photo hangs nearby, and a potted plant sits beside the desk, completing the office setting.",The hours here are obscene.,"This plays on the dual meaning of hours being oscene, either to mean long outrageous time commitment, or that the literal hours on the clock were obsceneties"
76,,59.0,"A man, seated at his desk in an office, is on the phone with a slightly anxious expression. Behind him, hanging on the wall, is a large clock where the usual numbers are replaced by punctuation and symbols (like #, @, %). A framed family photo hangs nearby, and a potted plant sits beside the desk, completing the office setting.","Oh, sorry. I forgot about the time difference.","While this typically refers to the difference of times across time zones, but here, the man is implying that he is operating on an entirely different system of time."
77,,59.0,"A man, seated at his desk in an office, is on the phone with a slightly anxious expression. Behind him, hanging on the wall, is a large clock where the usual numbers are replaced by punctuation and symbols (like #, @, %). A framed family photo hangs nearby, and a potted plant sits beside the desk, completing the office setting.",Let me call you back in an umlaut.,"Consistent with the clock, the man is referring to a quantity of time by a grammatical mark."
78,,61.0,"A doctor wearing a head mirror and standing behind a desk is in a typical doctor's offide. However, a giant hand is reaching through the doorway, facing up. The doctor is reaching over the desk to check the enormous hand's pulse.",Take three thousand Tylenol and call me in the morning.,"While a doctor might typically tell a patient to take a few Tylenol, given the enormity of the hand, he suggests they take an absurdly large dose. "
79,,61.0,"A doctor wearing a head mirror and standing behind a desk is in a typical doctor's offide. However, a giant hand is reaching through the doorway, facing up. The doctor is reaching over the desk to check the enormous hand's pulse.","Really God, you worry too much.",This suggests that the giant hand is literally the hand of God.
80,,61.0,"A doctor wearing a head mirror and standing behind a desk is in a typical doctor's offide. However, a giant hand is reaching through the doorway, facing up. The doctor is reaching over the desk to check the enormous hand's pulse.",I don't know why you're so jolly—your cholesterol is through the roof.,"This is a play on words. While ""through the roof"" typically means very elevated levels, here the giant patient is literally breaking through the roof."
81,,62.0,"In an office setting, a man in a suit is seated behind his desk, observing a chaotic scene. Another man, bent forward with an expression of rage, is being ridden by a woman who’s perched on his back like a rodeo rider, arm raised triumphantly, holding on to his tie. The man behind the desk is speaking.",This new M.B.A. crop is so hard to break.,"This would typically refer to ""breaking in"" newly hired employees to the company culture, but in this scene, refers to taming or ""breaking"" a horse"
82,,62.0,"In an office setting, a man in a suit is seated behind his desk, observing a chaotic scene. Another man, bent forward with an expression of rage, is being ridden by a woman who’s perched on his back like a rodeo rider, arm raised triumphantly, holding on to his tie. The man behind the desk is speaking.","O.K., let's wrap up and call it a day. I feel like we're losing our focus.","This is an absurd example of a meeting getting off-topic, a common frustration in office settings"
83,,62.0,"In an office setting, a man in a suit is seated behind his desk, observing a chaotic scene. Another man, bent forward with an expression of rage, is being ridden by a woman who’s perched on his back like a rodeo rider, arm raised triumphantly, holding on to his tie. The man behind the desk is speaking.",Just five more seconds and you'll break the record set by Tex and Dolly Rosenberg in Accounting.,"In bull riding, you compete by staying on as long as possible"
84,,65.0,"In a business setting, a mixure of business people and cartoonish robots sit around a board room table, taking a vote. All of the robots are raising their hands, while only one human is nervously raising his hand, sitting between two robots. At the head of the table, an old man leading the table leans over and yells furiously at the human raising his hand.","Jenkins, if I want another yes-man I'll build one.",The boss built the robots just to sit there and agree with him.
85,,65.0,"In a business setting, a mixure of business people and cartoonish robots sit around a board room table, taking a vote. All of the robots are raising their hands, while only one human is nervously raising his hand, sitting between two robots. At the head of the table, an old man leading the table leans over and yells furiously at the human raising his hand.","You're voting with your pacemaker again, Hargrove!","This is a direct twist on ""voting with your heart"""
86,,71.0,"A doctor stands in an examination room, clipboard in hand, speaking to a patient who is physically separated into three parts—head, torso with crossed arms, and lower body—all resting on an exam table. The patient’s head, wearing glasses, is on one side of the torso, and the legs dangle at the other end. Despite the unusual situation, the doctor is casually reading from a clipboard.",The good news is all the pieces fit.,"The good news doesn’t matter, since you couldn't just put him back together"
87,,71.0,"A doctor stands in an examination room, clipboard in hand, speaking to a patient who is physically separated into three parts—head, torso with crossed arms, and lower body—all resting on an exam table. The patient’s head, wearing glasses, is on one side of the torso, and the legs dangle at the other end. Despite the unusual situation, the doctor is casually reading from a clipboard.",This is the most advanced case of Surrealism I've seen.,"The doctor is framing an art style like a medical condition, which would explain the mans unusual situation"
88,,71.0,"A doctor stands in an examination room, clipboard in hand, speaking to a patient who is physically separated into three parts—head, torso with crossed arms, and lower body—all resting on an exam table. The patient’s head, wearing glasses, is on one side of the torso, and the legs dangle at the other end. Despite the unusual situation, the doctor is casually reading from a clipboard.",Let's just keep an eye on it for a while.,"While this would be typical advice for a minor affliction, it massively understates the severity of the man being chopped into pieces."
89,,72.0,"A man dressed in a suit and tie is walking on a tightrope stretched between two buildings, using a long balancing pole for support. Another man, also in a suit, watches from a nearby opened window in one of the buildings, speaking to the tightrope walker.",And make mine a decaf.,This caption implies that the man in the window sent his coworker on this dangerous mission to get coffee.
92,,78.0,"A man and woman lie in a large bed that’s clearly inside a prison cell—vertical bars dominate the foreground. He’s bald, relaxed with his arms behind his head, while she is smoking a cigarette. At the foot of the bed, their feet poke out from under the covers. A small barred cell door reinforces the prison setting.",My mother is coming to stay next week.,"In a typical household setting, this would mean that the mother is coming to visit. However, in prison, this suggests that the mother will also be incarcerated."
93,,78.0,"A man and woman lie in a large bed that’s clearly inside a prison cell—vertical bars dominate the foreground. He’s bald, relaxed with his arms behind his head, while she is smoking a cigarette. At the foot of the bed, their feet poke out from under the covers. A small barred cell door reinforces the prison setting.",Ever think about kids?,"While this might be normal conversation in a domestic setting, it is absurd to have kids in prison."
